X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
31.0,16.0,32.0,2.0,1587.0,569.1151184318229,205.3937658592665,1.0,-0.46961546852425295,138.0,71.0,32.0,62.0,32.0,64.0,31.0,69.0,32.0,138.0,307.0,32.0,62.0,138.0,64.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,71
45.0,15.0,39.0,2.0,1440.0,422.1151184318229,333.796970015591,1.0,-0.11683653399118234,200.0,67.0,39.0,90.0,30.0,78.0,45.0,68.0,39.0,200.0,303.0,39.0,90.0,136.0,78.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,72
51.0,58.0,37.0,3.0,1799.0,781.1151184318229,469.4419678610443,1.0,-0.24922744750077575,227.0,258.0,37.0,102.0,116.0,74.0,51.0,111.0,37.0,227.0,494.0,37.0,102.0,222.0,74.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,73
41.0,37.0,37.0,3.0,1488.0,470.1151184318229,290.6211148319897,1.0,-0.23594775133786378,182.0,164.0,37.0,82.0,74.0,74.0,41.0,90.0,37.0,182.0,400.0,37.0,82.0,180.0,74.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,74
42.0,33.0,41.0,3.0,1565.0,547.1151184318229,292.3717683509218,2.0,-0.3034512558703344,187.0,147.0,41.0,84.0,66.0,82.0,42.0,86.0,41.0,187.0,383.0,41.0,84.0,172.0,82.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,75
36.0,27.0,28.0,3.0,1230.0,212.1151184318229,192.22379249349783,4.0,-0.049194686439660774,160.0,120.0,28.0,72.0,54.0,56.0,36.0,80.0,28.0,160.0,356.0,28.0,72.0,160.0,56.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,76
50.0,22.0,23.0,3.0,1353.0,335.1151184318229,225.98906849034708,2.0,-0.19448446916795606,222.0,98.0,23.0,100.0,44.0,46.0,50.0,75.0,23.0,222.0,334.0,23.0,100.0,150.0,46.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,77
51.0,20.0,27.0,3.0,1399.0,381.1151184318229,231.55522002849753,2.0,-0.2441115376650662,227.0,89.0,27.0,102.0,40.0,54.0,51.0,73.0,27.0,227.0,325.0,27.0,102.0,146.0,54.0,6.0,0.0,236.0,0.0,0.0,53.0,0.0,78
52.0,60.0,27.0,4.0,1338.0,320.1151184318229,255.04354029942928,3.0,-0.11313674434796064,231.0,267.0,27.0,104.0,120.0,54.0,52.0,113.0,27.0,231.0,503.0,27.0,104.0,226.0,54.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,79
43.0,17.0,31.0,4.0,1655.0,637.1151184318229,609.7652157516419,4.0,-0.021934665204332883,191.0,76.0,31.0,86.0,34.0,62.0,43.0,70.0,31.0,191.0,312.0,31.0,86.0,140.0,62.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,80
