,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
167,26.0,13.0,48.0,2.0,1353.0,277.02497541294224,164.43989960900313,26.0,13.0,48.0,0,0,0
168,20.0,13.0,46.0,2.0,1628.0,552.0249754129422,236.835550531315,20.0,13.0,46.0,0,0,0
169,9.0,13.0,37.0,2.0,1402.0,326.02497541294224,134.93225319612066,9.0,13.0,37.0,0,0,0
170,57.0,12.0,2.0,2.0,1773.0,697.0249754129422,393.1538439286615,57.0,12.0,2.0,0,0,0
171,34.0,12.0,14.0,2.0,1955.0,879.0249754129422,535.4809433491398,34.0,12.0,14.0,0,0,0
172,26.0,12.0,14.0,2.0,1794.0,718.0249754129422,290.59775434842743,26.0,12.0,14.0,0,0,0
173,64.0,11.0,24.0,2.0,1470.0,394.02497541294224,310.1920680100749,64.0,11.0,24.0,0,0,0
174,57.0,11.0,7.0,2.0,1988.0,912.0249754129422,402.9448362309767,57.0,11.0,7.0,0,0,0
175,56.0,11.0,28.0,2.0,1691.0,615.0249754129422,435.69087518022,56.0,11.0,28.0,0,0,0
176,32.0,11.0,31.0,2.0,1595.0,519.0249754129422,373.1861212318658,32.0,11.0,31.0,0,0,0
177,23.0,11.0,53.0,2.0,1424.0,348.02497541294224,192.9094151227537,23.0,11.0,53.0,0,0,0
178,15.0,11.0,14.0,2.0,2072.0,996.0249754129422,207.20204761794355,15.0,11.0,14.0,0,0,0
179,11.0,11.0,47.0,2.0,1710.0,634.0249754129422,311.1748582456035,11.0,11.0,47.0,0,0,0
180,11.0,11.0,32.0,2.0,1529.0,453.02497541294224,190.07410262182972,11.0,11.0,32.0,0,0,0
181,10.0,11.0,21.0,2.0,2132.0,1056.0249754129422,377.52829140401684,10.0,11.0,21.0,0,0,0
182,61.0,10.0,8.0,2.0,1685.0,609.0249754129422,286.38189595911734,61.0,10.0,8.0,0,0,0
183,37.0,10.0,30.0,2.0,1523.0,447.02497541294224,286.35797420972995,37.0,10.0,30.0,0,0,0
184,54.0,9.0,20.0,2.0,1217.0,141.02497541294224,54.68814764871358,54.0,9.0,20.0,0,0,0
185,29.0,9.0,4.0,2.0,2171.0,1095.0249754129422,534.4788209981372,29.0,9.0,4.0,0,0,0
186,26.0,9.0,31.0,2.0,1100.0,24.02497541294224,7.256439112094784,26.0,9.0,31.0,0,0,0
187,10.0,9.0,9.0,2.0,1622.0,546.0249754129422,281.0602217133157,10.0,9.0,9.0,0,0,0
188,26.0,8.0,34.0,2.0,1125.0,49.02497541294224,7.647215251848691,26.0,8.0,34.0,0,0,0
189,22.0,8.0,42.0,2.0,1330.0,254.02497541294224,108.03301711041702,22.0,8.0,42.0,0,0,0
190,56.0,7.0,9.0,2.0,1705.0,629.0249754129422,336.68984898509007,56.0,7.0,9.0,0,0,0
191,4.0,7.0,21.0,2.0,1431.0,355.02497541294224,147.26712421350746,4.0,7.0,21.0,0,0,0
192,25.0,6.0,20.0,2.0,1688.0,612.0249754129422,241.88339129861131,25.0,6.0,20.0,0,0,0
193,14.0,6.0,17.0,2.0,2164.0,1088.0249754129422,247.61725673084362,14.0,6.0,17.0,0,0,0
194,13.0,6.0,27.0,2.0,1576.0,500.02497541294224,290.70307976072576,13.0,6.0,27.0,0,0,0
195,62.0,5.0,4.0,2.0,1601.0,525.0249754129422,270.5033300508935,62.0,5.0,4.0,0,0,0
196,30.0,5.0,18.0,2.0,1450.0,374.02497541294224,169.4434702890562,30.0,5.0,18.0,0,0,0
197,18.0,4.0,7.0,2.0,1790.0,714.0249754129422,352.041916757081,18.0,4.0,7.0,0,0,0
198,11.0,4.0,41.0,2.0,1177.0,101.02497541294224,34.893309237061914,11.0,4.0,41.0,0,0,0
199,58.0,2.0,26.0,2.0,1129.0,53.02497541294224,8.645166428378824,58.0,2.0,26.0,0,0,0
200,50.0,2.0,7.0,2.0,1339.0,263.02497541294224,190.84795172584097,50.0,2.0,7.0,0,0,0
201,47.0,2.0,4.0,2.0,1284.0,208.02497541294224,182.014742407506,47.0,2.0,4.0,0,0,0
202,29.0,2.0,5.0,2.0,2090.0,1014.0249754129422,482.0477420963787,29.0,2.0,5.0,0,0,0
203,20.0,2.0,23.0,2.0,1799.0,723.0249754129422,391.80799782207083,20.0,2.0,23.0,0,0,0
204,15.0,2.0,21.0,2.0,1970.0,894.0249754129422,369.4999800213492,15.0,2.0,21.0,0,0,0
205,13.0,2.0,10.0,2.0,1475.0,399.02497541294224,176.6171579754072,13.0,2.0,10.0,0,0,0
206,13.0,61.0,48.0,3.0,1476.0,400.02497541294224,261.2384816165477,13.0,61.0,48.0,0,0,0
207,30.0,58.0,33.0,3.0,1722.0,646.0249754129422,388.8600673533665,30.0,58.0,33.0,0,0,0
208,14.0,58.0,64.0,3.0,1383.0,307.02497541294224,71.37304556699623,14.0,58.0,64.0,0,0,0
209,32.0,57.0,46.0,3.0,1377.0,301.02497541294224,74.17338140326392,32.0,57.0,46.0,0,0,0
210,59.0,56.0,7.0,3.0,1411.0,335.02497541294224,155.37967327689415,59.0,56.0,7.0,0,0,0
211,21.0,56.0,58.0,3.0,2066.0,990.0249754129422,606.2816795204382,21.0,56.0,58.0,0,0,0
212,19.0,55.0,42.0,3.0,1275.0,199.02497541294224,113.05072714167653,19.0,55.0,42.0,0,0,0
213,19.0,55.0,27.0,3.0,1748.0,672.0249754129422,461.6607085197057,19.0,55.0,27.0,0,0,0
214,21.0,54.0,33.0,3.0,1679.0,603.0249754129422,441.9419143171408,21.0,54.0,33.0,0,0,0
215,9.0,54.0,58.0,3.0,1535.0,459.02497541294224,260.25758167972276,9.0,54.0,58.0,0,0,0
216,33.0,52.0,31.0,3.0,1532.0,456.02497541294224,315.4266147493678,33.0,52.0,31.0,0,0,0
